"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3948897",,"BR0806S10A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","13"
"3948898",,"BR0806S9A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948899",,"BR0806S8A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948900",,"BR0806S6A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948901",,"BR0806S5A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","14"
"3948902",,"BR0806S4A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948904",,"BR0806S2A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","13"
"3948905",,"BR0806S1A","20080731","61","Royal Canal, 300m SW of Dublin Road Bridge, Mullingar, Co. Westmeath","12"
"3948906",,"BR0805S4","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948907",,"BR0805S12","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948908",,"BR0805S13","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948909",,"BR0805S14","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948910",,"BR0805S15","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948911",,"BR0805S20","20080716","61","Castledermot to Carlow Road, at new M9 interchange, Co. Carlow","14"
"3948912",,"BR0803S36C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948913",,"BR0803S38C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948914",,"BR0803S40C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948915",,"BR0804S1","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948916",,"BR0804S2","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948917",,"BR0804S3","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948918",,"BR0804S10","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948919",,"BR0804S11","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948920",,"BR0804S13","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948921",,"BR0804S14","20080702","61","Cluain Wood Carpark, 4km SE of Glencree, Co. Wicklow","14"
"3948922",,"BR0803S29C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948923",,"BR0803S30C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948924",,"BR0803S35C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948925",,"BR0803S19B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948927",,"BR0803S4A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948928",,"BR0803S5A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948929",,"BR0803S6A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948930",,"BR0803S28C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948931",,"BR0803S27C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948932",,"BR0803S26C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948933",,"BR0803S25C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948934",,"BR0803S24C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948935",,"BR0803S23C","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948936",,"BR0803S22B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948937",,"BR0803S21B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948938",,"BR0803S20B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948939",,"BR0803S2A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948940",,"BR0803S18B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
