"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"39443","34.74944","-112.0125","1451.0",,"",,"2"
"133739","42.71666667","-84.48333333","256.0",,"",,"3"
"294198","61.11667","21.86667","46.0",,"",,"2"
"310187","42.04","-93.60333","301.0",,"",,"2"
"2862002","51.0833","11.7","150.0",,"",,"2"
"2862003","47.1333","5.85","247.0",,"",,"3"
"2862004","55.5833","11.25","4.0",,"",,"3"
"2862089","52.377","1.71","5.0",,"",,"3"
"2862090","47.1333","5.85","247.0",,"",,"3"
"2862093","40.1333","-8.65","50.0",,"",,"2"
"3532188","42.283333","-7.866667","200.0",,"",,"6"
"3536962","40.413889","-4.706667","764.0",,"",,"6"
"3789071","","","39.0",,"",,"0"
"3794326","","","886.0",,"",,"0"
"3796870","","","1061.0",,"",,"0"
"3810373","","","1846.0",,"",,"0"
"3813098","","","2152.0",,"",,"0"
"3813266","","","36.0",,"",,"0"
"3816651","","","95.0",,"",,"0"
"3817157","","","122.0",,"",,"0"
"3818386","","","50.0",,"",,"0"
"3818873","","","-130.0",,"",,"0"
"3819324","","","45.0",,"",,"0"
"3820966","","","1410.0",,"",,"0"
"3821414","","","230.0",,"",,"0"
"3822285","","","150.0",,"",,"0"
"3824437","","","5.0",,"",,"0"
"3826020","","","250.0",,"",,"0"
"3842964","50.189722","19.806111","438.0",,"",,"3"
"3844012","50.189722","19.806111","438.0",,"",,"3"
"3941991","55.234167","11.320278","",,"",,"6"
"4001199","56.32","10.063333","",,"",,"6"
"4001229","56.325556","10.717778","",,"",,"6"
"4034337","47.133333","5.85","",,"",,"5"
"4335976","34.74944444","-112.0125","1009.0",,"",,"2"
"4351167","43.07611111","-89.425","257.0",,"",,"2"
"4373023","39.88222222","-87.21111111","205.0",,"",,"2"
"4376494","42.04","-93.60333333","273.0",,"",,"2"
"4400993","35.92638889","-83.9625","251.0",,"",,"2"
"4409247","43.65","-70.24166667","3.0",,"",,"2"
"4415495","61.11666667","21.86666667","",,"",,"2"
"4531625","","","1866.0",,"",,"0"
"4536020","","","1533.0",,"",,"0"
"4538817","","","2854.0",,"",,"0"
"4893003","50.916667","11.666667","250.0",,"",,"3"
"4916179","41.656389","-0.879167","208.0",,"",,"2"
"6238090","","","1770.0",,"","GPS","0"
"6239693","","","1480.0",,"",,"0"
"6319352","31.943333","35.224722","869.0",,"",,"1"
"6320385","32.0525","35.306667","762.0",,"",,"1"
"6320708","32.9225","35.541944","229.0",,"",,"1"
"6320830","32.918333","35.120278","15.0",,"",,"1"
"6320831","31.902778","35.223056","890.0",,"",,"1"
"6320832","32.686667","35.113333","30.0",,"",,"1"
"6320833","33.254444","35.765","1013.0",,"",,"1"
"6320850","32.590278","35.186944","131.0",,"",,"1"
"6322057","33.064167","35.2525","358.0",,"",,"1"
"6390468","","","416.0",,"",,"0"
"6558681","","","358.0",,"",,"0"
"6558682","","","1013.0",,"",,"0"
"6558683","","","30.0",,"",,"0"
"6558775","","","131.0",,"",,"0"
"6558776","","","762.0",,"",,"0"
"6558777","","","890.0",,"",,"0"
"6558778","","","869.0",,"",,"0"
"6558779","","","229.0",,"",,"0"
"6558780","","","15.0",,"",,"0"
