"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"5618781","01fb0b8e-1a26-4a3e-8836-64abab99d30b","ISR002","23773",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100720","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:36"
"5618784","1c816c06-0860-493c-9b3d-66a41a3ea3f8","ISR002","22617",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20090531","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:01:18"
"5618785","a63b998c-96aa-40c6-95b4-ca2c1395b93e","ISR002","21767",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20081002","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:14"
"5618788","208b6afe-6485-41d5-ae8b-bf80068bb307","ISR002","19540",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20060604","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:36"
"5618790","f0c1ff1a-7f6d-4445-9349-d5882afcae3e","ISR002","21763",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20081002","","","false",,"100",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:31"
"5618791","f7c24930-e353-42a0-ac25-a9a47d08ceff","ISR002","23777",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100721","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:18"
"5618794","3ec608db-852a-4769-9a1f-8b114202c6dd","ISR002","24841",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20120521","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:59"
"5618801","79dd3650-4baf-4045-8bec-893281cb6121","ISR002","23491",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100513","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:01:29"
"5618802","4ed3b209-bf36-429d-b755-4ee0e2c1da9d","ISR002","20643",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20070815","","","false",,"100",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:05"
"5618803","68174028-9c8b-4305-8415-dbef14e027be","ISR002","19539",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20060604","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:47"
"5618805","280028f9-d506-4d1d-8d39-3f3dfa0140c6","ISR002","26128",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20140521","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:20"
"5618807","b662b84e-6f78-4878-88ee-0bb2c436701e","ISR002","24516",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20110724","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:52"
"5618809","8bb2bed4-bfdd-40e1-8973-6a3584e32465","ISR002","23714",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20100621","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:51"
"5618810","326e0981-1c34-48b5-a9d2-7cabd608de24","ISR002","24994",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20120617","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:04"
"5618811","e61d6ef5-c30a-424f-b054-df8f727c6252","ISR002","20640",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20070815","","","false","13","100","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:10"
"5618812","6bdb0005-cbb5-4995-9c05-f7167ef76201","ISR002","25175",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20120729","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:37"
"5618816","3ac9790f-dd5b-4346-b663-c58530d8bc5e","ISR002","24266",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20110525","","","false",,"120",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:39"
"5618818","0f037ae3-0aff-48b8-b2d4-6f4b7c71ec0b","ISR002","20644",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20070815","","","false",,"100",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:48"
"5618820","43851f1d-1335-4a8f-a17e-d3c0561952e9","ISR002","24812",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20120508","","","false",,"110",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:52"
"5618821","b247ed00-6664-429e-80d4-29f063339954","ISR002","25022",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20120618","","","false","13","110","GBR004","4","2016-10-28 00:00:24","1285","2020-05-11 10:00:54"
