"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"6502846","52.474167","15.778611","59.0",,"",,"0"
"6504066","51.559722","15.859167","128.0",,"",,"0"
"6504145","52.355278","15.277222","154.0",,"",,"0"
"6504316","52.966944","18.681944","71.0",,"",,"0"
"6506036","53.096389","17.428333","51.0",,"",,"0"
"6506110","53.281389","14.493056","",,"",,"0"
"6506187","52.6575","23.406111","162.0",,"",,"0"
"6548267","37.3375","-6.533889","111.0",,"",,"0"
"6548980","46.327778","16.585","151.0",,"",,"0"
"6549041","46.346111","16.68","142.0",,"",,"0"
