"genesysId","latitude","longitude","elevation","datum","uncertainty","method","version"
"3173266","","","200.0",,"",,"1"
"3173268","50.155556","8.774722","125.0",,"1000.0",,"5"
"3173269","51.398889","12.13","",,"800.0",,"5"
"3173274","","","200.0",,"",,"0"
"3783324","","","175.0",,"",,"0"
"4533603","","","1029.0",,"",,"0"
"4538763","","","1200.0",,"",,"0"
"4540683","","","183.0",,"",,"0"
"4622873","","","246.0",,"",,"0"
